crop,area_ha,rainfall,temp_mean,humidity,soil_ph,nitrogen,phosphorus,potassium,ndvi_mean,ndwi_mean,ndmi_mean,yield_prediction,disease_probability,historical_loss,risk_score
cotton,1.816,647.98,30.17,60.37,7.16,341.09,13.66,143.59,0.6637,-0.4057,0.0901,2.358,0.1237,0.1407,39.24
wheat,2.495,810.93,28.96,90.07,7.39,221.09,26.62,153.52,0.6851,-0.1799,0.2427,4.552,0.4259,0.1348,55.18
cotton,2.213,933.62,28.01,42.23,6.18,116.41,31.06,154.56,0.5334,-0.242,0.1295,2.479,0.2035,0.1317,50.11
chickpea,5.812,507.68,25.68,77.71,6.85,245.08,33.08,231.32,0.7587,-0.0953,0.2897,3.233,0.2492,0.0965,20.58
rice,5.695,497.57,30.32,62.69,5.05,272.9,16.17,229.4,0.6825,-0.2644,0.1483,5.224,0.2815,0.149,60.53
chickpea,5.089,855.69,25.85,70.8,7.58,286.84,12.4,164.08,0.6726,-0.0559,0.3162,3.147,0.1661,0.1955,48.25
wheat,6.335,633.35,26.0,46.22,6.03,337.37,36.78,112.95,0.8362,-0.061,0.2948,5.023,0.0474,0.0439,20.12
maize,3.136,519.0,32.37,71.4,7.44,233.58,30.26,249.04,0.5987,-0.2196,0.1494,6.391,0.4569,0.0816,45.13
cotton,6.363,393.58,30.38,78.74,6.65,261.15,29.94,169.02,0.6726,-0.2924,0.1344,2.279,0.1942,0.2785,43.6
soybean,9.664,452.3,18.84,81.02,7.52,424.21,28.9,232.34,0.7036,0.1268,0.4474,3.522,0.1211,0.1623,26.59
wheat,7.151,249.99,27.3,53.83,6.92,322.78,15.8,244.1,0.6753,-0.169,0.2501,4.848,0.1004,0.0668,21.06
maize,9.19,729.36,24.66,61.23,8.2,223.93,42.34,185.72,0.6736,-0.0801,0.2935,6.376,0.1539,0.0,31.99
cotton,3.182,480.4,23.37,42.78,6.62,158.2,22.97,123.98,0.6724,-0.0468,0.3096,2.529,0.0784,0.301,35.17
wheat,7.769,611.44,20.5,64.72,6.76,227.77,10.25,198.76,0.7357,0.069,0.3661,5.018,0.1615,0.1637,24.53
soybean,5.181,872.19,29.7,78.87,6.11,323.74,14.37,153.87,0.7233,-0.205,0.1242,3.637,0.3166,0.1732,43.41
cotton,5.876,431.06,33.03,79.36,8.02,228.73,22.87,173.04,0.7233,-0.1576,0.2759,2.07,0.2256,0.3883,68.46
chickpea,1.251,1343.32,27.39,75.95,7.45,346.61,8.28,235.24,0.7974,-0.1593,0.3431,2.543,0.2861,0.223,46.65
wheat,2.194,856.61,31.58,88.08,6.97,77.86,19.72,200.47,0.6372,-0.2752,0.2973,4.349,0.4648,0.2234,73.47
rice,8.085,770.55,28.48,92.63,6.18,171.34,31.3,103.32,0.6883,-0.2318,0.3389,5.646,0.2902,0.1328,45.47
cotton,3.034,851.19,29.31,59.66,6.57,308.53,21.32,168.6,0.8115,-0.1683,0.2479,2.928,0.0824,0.2626,27.76
cotton,8.796,234.67,23.83,91.58,5.92,193.13,31.88,251.6,0.7026,0.0109,0.3396,2.671,0.1201,0.2087,36.4
wheat,9.831,892.39,22.39,63.68,7.31,331.12,23.43,144.14,0.8742,-0.0569,0.3275,5.419,0.0324,0.1001,20.21
rice,1.712,983.99,33.51,54.07,5.84,197.1,34.97,194.72,0.5002,-0.3667,0.1814,4.911,0.2192,0.1814,58.24
maize,5.823,353.45,28.93,53.57,7.27,252.05,32.76,92.72,0.7741,-0.0287,0.454,6.074,0.2584,0.2481,49.4
chickpea,3.912,684.18,24.93,86.49,6.82,228.02,24.48,97.1,0.6719,-0.0899,0.345,3.258,0.1902,0.2319,32.44
soybean,0.512,814.2,33.47,74.65,6.81,392.13,14.12,288.74,0.8468,-0.1896,0.1835,3.404,0.1464,0.2929,34.04
chickpea,6.449,611.91,38.94,82.67,6.23,234.6,33.99,146.37,0.4217,-0.4607,-0.0318,1.593,0.5768,0.4692,94.75
maize,6.592,951.12,19.06,62.15,6.18,184.24,24.56,233.29,0.6235,0.152,0.2926,5.649,0.0486,0.1225,25.03
maize,0.89,782.38,27.49,68.56,7.15,267.84,20.82,244.96,0.693,0.0461,0.3135,5.972,0.1835,0.1843,29.89
cotton,7.007,668.6,28.28,73.61,7.19,222.93,13.79,238.62,0.6322,-0.3428,0.2964,2.261,0.1235,0.124,40.8
rice,8.645,994.47,26.24,69.67,6.31,179.76,21.29,158.5,0.6521,0.0124,0.1836,5.496,0.081,0.1824,35.98
wheat,6.666,644.4,21.84,46.47,6.37,332.74,19.02,164.24,0.744,0.0722,0.3299,5.165,0.0414,0.0,21.76
chickpea,4.217,559.39,24.88,66.5,5.0,204.04,44.12,106.29,0.7113,-0.0923,0.3295,3.221,0.1181,0.1362,40.94
chickpea,1.467,782.25,31.05,76.25,7.63,233.95,20.63,86.68,0.6608,-0.3862,0.1106,2.728,0.2609,0.1709,47.39
soybean,4.217,797.31,39.73,60.0,7.32,269.38,15.3,209.48,0.6538,-0.503,0.0484,2.196,0.3293,0.3532,84.2
wheat,3.994,458.49,36.66,69.16,8.2,308.52,15.64,136.42,0.6177,-0.2991,0.1733,2.958,0.4087,0.393,95.54
rice,4.197,486.44,22.94,67.26,4.9,334.47,26.21,201.32,0.6763,-0.1383,0.3371,5.829,0.2298,0.1622,49.93
wheat,9.401,462.57,39.07,67.66,6.89,254.25,28.45,131.64,0.5072,-0.5292,0.0085,2.566,0.2772,0.1299,84.26
soybean,5.047,1077.57,23.21,51.62,6.42,181.25,12.49,198.36,0.7871,-0.0668,0.2247,3.765,0.0653,0.0,22.45
cotton,4.674,748.94,20.32,53.88,5.91,287.58,15.92,221.53,0.6847,-0.008,0.2953,2.804,0.0395,0.0779,28.9
rice,7.038,936.51,25.17,89.18,6.49,244.07,10.89,221.71,0.6777,-0.0009,0.4514,6.162,0.2566,0.1352,35.32
soybean,7.611,691.2,31.42,53.38,7.03,279.41,31.2,187.96,0.7992,-0.1084,0.2405,3.273,0.1364,0.2888,37.77
wheat,1.55,412.76,24.61,57.59,6.67,180.78,30.84,178.18,0.7278,-0.0852,0.3457,4.98,0.2114,0.1595,22.58
soybean,5.753,750.0,29.34,71.81,7.05,234.65,13.37,165.38,0.6575,-0.2038,0.2588,3.896,0.2718,0.0376,42.6
cotton,6.34,630.04,30.91,78.47,5.98,307.21,28.92,156.99,0.556,-0.075,0.2712,2.15,0.3259,0.2897,74.17
wheat,6.269,783.41,32.38,69.1,6.84,141.61,27.4,104.96,0.6678,-0.1863,0.2457,4.066,0.2606,0.2802,71.65
wheat,9.979,693.67,21.75,62.61,7.3,200.25,28.14,269.41,0.8193,0.0853,0.3304,5.381,0.0537,0.3026,25.05
rice,0.662,669.35,30.47,45.78,7.03,218.76,28.61,152.47,0.7467,-0.271,0.2869,5.547,0.105,0.1317,21.58
chickpea,7.812,1249.71,26.96,78.26,7.56,164.51,34.04,137.06,0.7221,0.1069,0.3242,3.053,0.3046,0.1311,38.43
cotton,4.306,1003.83,28.02,98.0,5.93,124.87,41.99,153.89,0.6012,-0.041,0.236,2.415,0.5494,0.2932,63.78
chickpea,1.75,348.72,25.33,66.67,7.26,216.42,35.74,182.85,0.7123,-0.0388,0.4304,2.844,0.0743,0.163,28.23
rice,7.259,469.65,31.03,80.74,6.4,237.38,26.33,230.06,0.61,-0.2687,0.2536,5.48,0.5029,0.3353,54.19
maize,5.29,513.82,21.49,53.34,6.83,331.57,22.39,229.51,0.7233,-0.0147,0.3094,6.353,0.0382,0.1131,15.22
cotton,4.835,600.13,27.35,65.77,6.62,283.36,22.05,140.47,0.6355,-0.0386,0.3628,2.38,0.1933,0.1565,33.49
rice,9.214,150.0,29.37,60.5,5.38,292.51,37.29,83.01,0.6644,-0.1586,0.2145,5.2,0.0662,0.1855,39.91
maize,3.7,656.87,17.65,72.18,7.24,209.88,18.04,173.48,0.6593,0.1285,0.3944,6.499,0.1382,0.2448,39.33
cotton,5.915,181.06,28.2,59.5,6.76,272.53,19.88,129.64,0.7265,-0.0418,0.3188,2.671,0.0984,0.1205,21.79
soybean,9.465,429.18,22.52,48.06,7.44,213.02,21.26,163.55,0.7149,0.1568,0.4011,3.45,0.0772,0.0888,41.7
maize,1.775,672.4,27.07,48.03,7.29,260.87,48.36,154.32,0.6792,-0.1356,0.139,6.376,0.076,0.0368,26.93
chickpea,2.124,351.93,30.78,66.46,6.14,132.01,38.43,216.05,0.6754,-0.1957,0.257,2.735,0.2079,0.2604,38.51
chickpea,7.056,724.8,34.27,53.52,6.1,240.02,16.79,193.74,0.6723,-0.3619,0.0013,2.376,0.1887,0.295,70.07
wheat,7.641,1023.19,30.78,70.85,5.29,198.38,16.36,163.9,0.6322,-0.2025,0.2292,5.157,0.3574,0.3133,72.96
