crop,area_ha,rainfall,rainfall_7d,rainfall_30d,temp_mean,temp_max,temp_min,humidity,wind_speed,soil_ph,nitrogen,phosphorus,potassium,organic_carbon,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndwi_mean,ndwi_min,ndwi_max,ndmi_mean,ndmi_min,ndmi_max,growth_stage,sowing_delay_days,heat_stress_days,excessive_rainfall_index,disease_probability,historical_loss,yield_estimate,risk_score_estimate
maize,9.158,542.08,6.57,543.32,31.82,35.55,29.1,76.26,15.01,7.34,251.29,14.13,170.45,1.103,0.75,0.5037,0.9206,0.0927,-0.2655,-0.4445,-0.0923,0.1585,0.0445,0.2259,5,0.16,0.55,0.0,0.1968,0.2067,4.167,41.81
wheat,5.371,844.28,58.07,600.82,25.55,33.37,16.47,69.86,23.88,6.06,291.96,12.81,217.18,0.729,0.7047,0.5552,0.8203,0.0432,-0.0376,-0.1153,0.0458,0.2511,0.0743,0.41,2,6.41,0.0,0.0,0.1098,0.1216,4.636,28.99
chickpea,0.988,754.39,5.38,662.89,26.8,31.48,19.23,86.45,3.79,7.7,267.6,11.44,161.61,0.98,0.7337,0.5833,0.8403,0.1272,-0.2176,-0.3634,-0.0634,0.2841,0.1447,0.3351,4,5.7,0.0,0.0,0.3825,0.2514,1.623,46.8
rice,5.994,825.99,31.08,830.7,30.03,35.18,24.99,48.58,13.56,7.65,327.73,10.77,130.06,0.7,0.718,0.5948,0.8523,0.1009,-0.2261,-0.3114,-0.1248,0.0754,-0.0508,0.1981,1,6.46,0.18,0.0,0.1013,0.2396,3.227,36.13
chickpea,8.161,475.98,48.37,568.29,36.62,43.71,30.2,59.74,14.15,6.44,256.94,28.46,138.66,0.782,0.7388,0.4882,0.916,0.0299,-0.3542,-0.446,-0.2012,0.171,0.0453,0.2828,1,9.28,8.71,0.0,0.1659,0.2293,0.821,58.98
soybean,9.194,684.6,54.04,479.13,18.86,25.78,9.17,52.72,8.49,6.64,242.85,24.65,187.49,0.555,0.7416,0.5927,0.9326,0.1062,0.1753,0.1048,0.2296,0.4469,0.3496,0.4981,1,2.06,0.0,0.0,0.0751,0.2001,1.678,20.55
maize,1.084,420.51,33.38,518.08,29.3,35.4,21.73,43.29,18.5,5.84,70.48,16.18,223.65,0.941,0.5637,0.2865,0.7054,0.072,-0.1667,-0.2694,0.0323,0.154,0.0902,0.2133,5,0.0,0.4,0.0,0.1457,0.0879,3.96,52.87
wheat,8.599,279.33,17.89,236.3,33.63,42.03,30.28,65.96,21.04,7.02,304.97,23.18,239.81,0.832,0.7213,0.5648,0.8246,0.0818,-0.3359,-0.4063,-0.2479,0.1293,0.0346,0.1931,4,-0.37,7.03,0.0,0.1515,0.2645,3.393,51.9
maize,6.439,497.49,17.94,601.05,30.79,32.79,23.8,76.18,18.3,6.28,288.79,23.86,128.11,0.541,0.746,0.5549,0.8713,0.0504,-0.2414,-0.3878,-0.1796,0.2177,0.0411,0.3659,5,14.28,0.0,0.0,0.3377,0.3123,4.017,42.5
wheat,0.742,766.74,22.73,830.25,29.91,40.31,21.64,78.96,18.38,6.43,220.25,19.0,96.24,0.985,0.7111,0.5865,0.8338,0.0733,-0.1884,-0.3155,-0.0414,0.2308,0.1323,0.372,5,0.31,5.31,0.0,0.1493,0.3145,4.167,46.75
maize,7.879,684.28,25.14,555.2,32.28,39.23,25.07,78.53,2.68,6.58,225.29,29.54,259.63,0.677,0.7387,0.5701,0.832,0.103,-0.3435,-0.4264,-0.2276,0.2106,0.0892,0.2794,5,1.06,4.23,0.0,0.3218,0.2499,3.99,44.64
soybean,4.799,547.58,36.34,494.73,24.37,32.11,18.49,87.38,14.21,7.16,262.7,23.86,164.35,0.937,0.8264,0.5879,1.0,0.0235,0.1398,0.0878,0.2029,0.4225,0.2465,0.4769,2,8.65,0.0,0.0,0.2288,0.2953,1.59,30.83
soybean,4.515,488.43,34.79,396.28,22.34,28.64,16.38,58.24,10.78,7.59,426.78,28.44,222.9,0.885,0.8324,0.6873,1.0,0.1254,0.0256,-0.1618,0.081,0.4403,0.3792,0.6028,1,6.43,0.0,0.0,0.0348,0.1311,1.701,18.84
rice,8.643,659.42,15.65,736.81,32.37,37.1,24.3,58.56,18.5,5.73,315.48,27.61,158.05,0.825,0.643,0.3857,0.8107,0.0447,-0.2722,-0.3438,-0.0957,0.1166,0.0315,0.2279,1,4.47,2.1,0.0,0.2393,0.2011,3.203,41.48
soybean,4.256,753.15,23.52,618.71,28.67,37.67,23.82,71.09,17.73,6.89,302.25,23.26,243.52,1.228,0.7063,0.5072,0.8897,0.0378,-0.2085,-0.3024,-0.1032,0.2247,0.0828,0.3104,4,9.08,2.67,0.0,0.0525,0.1131,1.883,26.55
rice,8.699,619.96,13.67,432.68,28.82,36.22,23.11,62.3,19.9,7.15,328.74,26.5,108.48,1.147,0.7323,0.4511,0.8373,0.0911,-0.1326,-0.1891,-0.0575,0.1876,0.1334,0.3101,1,4.98,1.22,0.0,0.2121,0.2989,3.327,35.98
soybean,7.809,406.12,48.05,474.76,22.79,26.48,15.92,80.6,3.35,6.8,219.66,21.23,94.35,0.519,0.7518,0.5361,0.9369,0.1243,0.0301,-0.1509,0.1159,0.3056,0.135,0.4448,3,-2.27,0.0,0.0,0.1712,0.1647,1.349,32.57
rice,8.705,824.18,87.38,925.56,28.96,37.17,21.44,48.5,22.55,6.61,108.62,32.9,264.97,0.365,0.5915,0.4675,0.7335,0.0575,-0.0656,-0.1362,0.056,0.3519,0.1911,0.4296,3,1.21,2.17,0.0,0.2091,0.1424,3.471,38.28
soybean,0.95,838.63,30.99,760.74,25.79,36.17,19.01,42.21,11.58,5.25,307.94,21.09,59.65,0.902,0.7675,0.6417,0.8622,0.0888,-0.1101,-0.1676,0.0474,0.2191,0.1015,0.2713,2,3.99,1.17,0.0,0.0581,0.0184,1.646,38.13
soybean,8.821,795.49,23.69,737.99,32.42,39.59,23.92,68.64,12.63,8.2,222.98,32.28,266.12,0.424,0.776,0.6367,0.8837,0.1279,-0.169,-0.3086,-0.0019,0.189,0.0347,0.334,3,6.34,4.59,0.0,0.2292,0.2156,1.12,62.17
wheat,6.625,868.01,9.31,915.27,24.69,31.34,16.19,72.37,15.12,6.51,125.5,20.48,187.49,0.611,0.6628,0.4841,0.834,0.1076,-0.1267,-0.2956,-0.0055,0.2825,0.2262,0.3976,2,1.56,0.0,0.0,0.1712,0.0811,4.793,28.22
soybean,1.818,451.41,40.5,387.67,26.0,34.46,19.18,57.83,10.52,5.86,317.71,26.82,158.59,1.299,0.7192,0.5236,0.9098,0.0645,0.0102,-0.1246,0.1191,0.1806,0.1066,0.3241,3,7.54,0.0,0.0,0.0486,0.1504,1.733,27.73
maize,5.164,449.79,39.93,492.18,21.95,27.7,14.8,56.29,2.37,6.32,324.6,29.3,114.96,0.759,0.824,0.6101,0.9401,0.1217,0.1298,-0.0335,0.271,0.4312,0.3343,0.6031,4,7.9,0.0,0.0,0.0967,0.062,4.454,29.81
chickpea,0.988,377.58,34.88,281.79,32.23,42.06,21.81,88.26,16.59,6.33,201.68,17.24,228.12,0.68,0.6424,0.3756,0.8071,0.107,-0.2321,-0.3647,-0.0672,0.1916,0.0746,0.2472,2,10.34,7.06,0.0,0.63,0.2967,0.772,78.77
