crop,area_ha,rainfall,rainfall_7d,rainfall_30d,temp_mean,temp_max,temp_min,humidity,wind_speed,soil_ph,nitrogen,phosphorus,potassium,organic_carbon,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndwi_mean,ndwi_min,ndwi_max,ndmi_mean,ndmi_min,ndmi_max,growth_stage,sowing_delay_days,heat_stress_days,excessive_rainfall_index,disease_probability,historical_loss,yield_prediction,risk_score
soybean,9.218,731.6,15.09,826.11,32.46,43.52,26.9,65.53,23.35,5.8,142.93,35.66,158.84,0.162,0.5223,0.3059,0.6739,0.0595,-0.3592,-0.4355,-0.1864,0.1645,0.0019,0.3137,3,3.85,8.52,0.0,0.2756,0.3122,1.131,88.89
rice,9.245,387.38,29.1,467.16,28.64,35.09,20.39,64.11,16.9,7.51,290.92,31.83,218.47,0.652,0.6505,0.5046,0.8374,0.0652,-0.1809,-0.3764,-0.1066,0.198,0.0648,0.329,2,4.46,0.09,0.0,0.1483,0.14,3.396,40.16
maize,0.603,650.74,25.55,655.93,24.07,28.88,17.02,84.37,23.08,7.29,277.13,19.65,226.58,0.992,0.7268,0.5163,0.8509,0.0602,-0.0913,-0.2262,-0.0003,0.2044,0.0716,0.2873,2,7.66,0.0,0.0,0.1524,0.1298,4.269,27.29
wheat,0.505,553.67,60.84,522.22,29.48,36.91,26.41,79.86,14.57,7.04,181.89,20.07,137.35,0.627,0.6441,0.4645,0.7942,0.0679,0.0398,-0.0453,0.198,0.3092,0.1695,0.4491,5,14.95,1.91,0.0,0.4623,0.0672,4.411,50.37
cotton,7.42,587.31,17.79,568.74,28.88,36.54,22.1,57.82,15.16,7.35,185.11,24.3,167.49,0.981,0.6582,0.4832,0.7867,0.1337,-0.0963,-0.1569,0.0151,0.2556,0.0914,0.4307,4,6.24,1.54,0.0,0.1047,0.1698,0.968,38.37
chickpea,0.908,832.81,28.8,1011.42,26.76,34.23,18.98,78.56,15.92,6.86,271.3,20.11,120.93,1.213,0.7081,0.4711,0.9013,0.0865,-0.0748,-0.1485,0.0146,0.2436,0.0845,0.3937,4,5.89,0.0,0.0,0.3611,0.1896,1.128,37.45
chickpea,2.148,740.88,33.13,616.0,28.1,36.74,23.72,61.92,27.09,6.41,196.26,11.15,126.74,0.977,0.6446,0.377,0.8071,0.0501,-0.223,-0.3557,-0.0365,0.211,0.1223,0.2813,1,5.95,1.74,0.0,0.0642,0.1294,1.553,30.92
rice,6.636,640.45,58.39,751.13,22.27,32.76,10.32,70.27,19.92,8.02,252.73,20.7,237.22,0.578,0.7937,0.6789,0.9594,0.0985,0.076,-0.094,0.2674,0.3261,0.1505,0.4371,2,18.29,0.0,0.0,0.1141,0.2787,2.958,37.93
maize,9.858,433.49,49.4,501.67,25.51,28.56,20.05,78.52,10.26,6.17,197.31,17.78,180.95,1.099,0.66,0.3606,0.8414,0.1141,0.0196,-0.0321,0.0725,0.3018,0.2241,0.443,2,10.61,0.0,0.0,0.1954,0.2348,4.128,39.36
chickpea,6.98,548.82,41.83,655.26,41.67,48.03,31.01,61.29,18.02,4.8,198.51,32.0,249.87,0.69,0.6424,0.5224,0.8079,0.0889,-0.5093,-0.6391,-0.3791,0.0998,-0.0739,0.2544,1,16.05,13.03,0.0,0.3793,0.3849,1.009,88.26
rice,8.618,832.72,29.02,587.52,28.56,36.04,20.02,63.22,18.46,7.08,209.22,38.57,222.31,0.741,0.7542,0.6254,0.9323,0.0823,-0.1536,-0.2832,-0.0133,0.1957,0.0788,0.3502,5,6.73,1.04,0.0,0.1201,0.0413,3.061,16.81
soybean,5.875,822.91,23.87,771.65,26.45,36.07,17.9,54.52,7.81,5.45,326.26,18.25,287.87,0.689,0.5691,0.297,0.7543,0.0572,-0.2093,-0.4057,-0.1296,0.2012,0.0986,0.3787,4,5.09,1.07,0.0,0.168,0.0809,1.697,43.29
chickpea,6.197,756.45,52.03,551.97,33.84,42.15,21.71,80.28,21.86,5.5,193.59,8.81,254.02,1.281,0.7169,0.5815,0.8901,0.1355,-0.1887,-0.3296,0.0026,0.2278,0.1213,0.3341,1,-0.7,7.15,0.0,0.4157,0.4515,1.211,83.8
wheat,9.546,1043.95,32.46,1046.15,27.39,35.28,17.93,71.07,12.84,7.08,205.64,14.28,203.29,0.441,0.5964,0.4255,0.693,0.1145,-0.1255,-0.2029,-0.0634,0.1899,0.1001,0.2455,5,-0.32,0.28,0.0,0.2057,0.0746,4.481,41.3
rice,1.286,611.04,15.08,421.83,20.6,27.44,15.44,81.02,10.13,8.2,344.64,23.08,129.49,1.15,0.8045,0.5528,0.8961,0.0973,-0.0062,-0.171,0.1474,0.3795,0.2284,0.4909,1,5.88,0.0,0.0,0.0863,0.1119,3.447,36.08
rice,2.018,730.47,62.37,813.75,33.37,40.5,25.93,67.55,8.23,6.73,282.1,23.71,112.45,0.55,0.8349,0.6438,1.0,0.0756,-0.1767,-0.3701,-0.1039,0.2659,0.1138,0.3903,1,2.04,5.5,0.0,0.2246,0.2186,2.973,44.93
soybean,6.669,629.76,50.58,734.21,28.51,36.15,17.56,69.14,28.18,6.25,303.55,27.21,142.49,0.222,0.9443,0.7413,1.0,0.0787,-0.0459,-0.2,0.0952,0.2847,0.1348,0.3869,2,0.45,1.15,0.0,0.1814,0.1901,1.363,26.39
cotton,3.875,759.03,73.07,570.18,22.4,26.07,16.89,81.53,20.67,5.94,233.18,25.4,252.31,0.644,0.6658,0.4853,0.748,0.1054,0.0947,0.034,0.1781,0.2908,0.1847,0.4635,4,6.02,0.0,0.0,0.1799,0.237,0.709,38.39
