crop,area_ha,rainfall,rainfall_7d,rainfall_30d,temp_mean,temp_max,temp_min,humidity,wind_speed,soil_ph,nitrogen,phosphorus,potassium,organic_carbon,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndwi_mean,ndwi_min,ndwi_max,ndmi_mean,ndmi_min,ndmi_max,growth_stage,sowing_delay_days,heat_stress_days,excessive_rainfall_index,disease_probability,historical_loss,yield
soybean,7.347,232.44,22.93,248.6,18.68,24.81,11.67,68.08,3.31,7.14,313.25,30.81,117.97,0.422,0.7439,0.5004,0.9095,0.0899,0.1716,-0.0044,0.3515,0.4578,0.3942,0.5463,2,1.83,0.0,0.0,0.0869,0.2675,1.55
cotton,7.257,463.91,35.72,352.36,22.21,29.02,14.99,68.68,4.77,5.64,266.88,38.27,200.22,0.499,0.8261,0.6882,0.9619,0.0546,0.0844,-0.1137,0.2444,0.3776,0.3051,0.4651,3,3.59,0.0,0.0,0.0884,0.2047,0.789
maize,2.426,431.27,43.79,446.97,25.19,34.22,18.31,69.2,26.15,7.39,283.35,36.07,138.06,0.873,0.8448,0.6909,0.944,0.0837,-0.1218,-0.263,-0.0339,0.2981,0.1516,0.4309,2,3.86,0.0,0.0,0.0641,0.0,4.062
rice,0.848,502.54,6.1,456.8,28.31,35.24,24.02,81.53,7.85,6.45,268.01,35.34,233.34,1.148,0.7307,0.4874,0.8242,0.084,-0.101,-0.1827,0.032,0.2104,0.0884,0.3673,3,6.86,0.24,0.0,0.1618,0.0243,3.394
rice,3.386,715.97,37.2,867.38,23.97,31.98,20.03,60.52,6.61,6.21,264.05,7.46,148.64,0.581,0.6673,0.4015,0.8141,0.0954,0.0098,-0.1728,0.0621,0.2255,0.0716,0.3496,1,5.29,0.0,0.0,0.1108,0.1785,2.984
chickpea,1.993,769.03,29.79,675.38,28.51,34.14,20.0,59.78,16.86,7.17,183.59,13.77,174.67,0.752,0.7261,0.4343,0.8868,0.0918,-0.224,-0.3705,-0.1412,0.2342,0.1414,0.3468,5,8.44,0.0,0.0,0.1035,0.2149,1.901
soybean,4.26,428.5,29.38,487.81,23.54,29.09,16.49,54.0,13.33,6.47,223.11,35.64,222.17,0.776,0.7625,0.5783,0.929,0.02,0.0636,-0.0272,0.2216,0.2853,0.1607,0.4437,3,4.45,0.0,0.0,0.0458,0.091,1.182
cotton,9.804,476.27,9.77,373.59,32.71,39.18,25.6,60.49,18.92,7.95,172.13,30.54,212.22,1.089,0.6342,0.5337,0.8223,0.0759,-0.396,-0.5284,-0.2113,0.1792,0.1143,0.2522,2,0.7,4.18,0.0,0.1443,0.1791,0.614
wheat,2.22,888.37,19.04,590.82,20.6,25.44,11.62,68.81,13.91,8.2,291.4,21.65,242.64,0.719,0.6391,0.3713,0.8146,0.0557,0.0254,-0.089,0.1581,0.2725,0.0978,0.4397,3,2.73,0.0,0.0,0.1412,0.1454,4.835
soybean,3.529,1025.16,39.24,1132.81,26.44,34.79,19.79,55.61,9.79,8.2,346.94,19.7,123.09,0.834,0.7282,0.6068,0.8734,0.0668,-0.1212,-0.2333,0.0454,0.3093,0.163,0.4418,4,4.09,0.0,0.0,0.189,0.1513,1.713
maize,7.389,926.3,8.53,995.2,24.82,32.47,16.03,32.88,2.4,5.97,264.22,20.21,316.67,0.794,0.6608,0.5584,0.7411,0.0782,-0.1544,-0.2488,-0.0023,0.1632,0.0354,0.317,4,7.89,0.0,0.0,0.0233,0.1568,4.445
